value,trial_type
32.494981542404254,same
29.421749107668077,same
59.18908992089458,same
41.168334047549024,same
37.839393571261276,same
41.54953785145084,same
39.170265539964234,same
33.595717547048444,same
25.602068638406024,same
33.5378822773838,same
52.775718284730374,same
49.27482808041206,same
45.834135899748965,same
36.085494558493956,same
35.98470830724221,same
47.012589694393846,same
27.438014683074822,same
53.88085796119329,same
52.22658929722285,same
42.30635320573966,same
34.58034314662625,same
39.13875252137924,same
32.758234592795986,same
37.16395230216461,same
38.158926283537134,same
41.003488095295744,same
29.975136323630156,same
41.6253147579011,same
44.8590972931558,same
43.25287604856393,same
59.48317405128944,same
33.49797638822749,same
43.24043905670376,same
49.03000958503092,same
51.93627719897706,same
36.906807787559856,same
37.20615275028893,same
34.25531602102023,same
38.10089147636847,same
53.383882125668286,same
38.77816033635426,same
42.568272822025655,same
40.952081154700245,same
43.43868121715189,same
26.164648646394983,same
39.76846049740802,same
39.19904079502205,same
30.05668335933777,same
37.87102009339285,same
42.9857302673258,same
40.219121463667356,same
44.322968064078914,same
38.796713962035874,same
30.478134436113155,same
44.50676278173798,same
42.14968005829017,same
49.06744938288467,same
36.266767609915966,same
56.33242102611235,same
31.250886215098472,same
32.7078884693309,same
44.25001247455584,same
29.011361980874074,same
42.622368069300194,same
34.62756857747515,same
27.898077709935208,same
40.838083210172556,same
42.93217510039339,same
36.93667350033457,same
43.40133659816696,same
39.73114010787412,same
59.63568269975763,same
63.53593505426497,same
41.2733654939021,same
35.93068369770582,same
35.18665420488514,same
48.83081874505107,same
35.87219422183327,same
48.007527049988475,same
44.078440647087724,same
56.46077109196745,same
31.392839463503577,same
34.30776672208698,same
44.58764686596425,same
48.357666615812036,same
35.467334291909864,same
38.20907024699486,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
,same
