max_avg_over_ch_crosscor,pre/post_cue,cued/uncued_tag
35.75416256786659,precue,uncued
47.6238761582876,precue,uncued
44.224578224123114,precue,uncued
33.12249040948044,precue,uncued
38.516713715300234,precue,uncued
46.32230769941154,precue,uncued
41.21678138628825,precue,uncued
49.93794854669208,precue,uncued
32.47676648398718,precue,uncued
42.31378607517803,precue,uncued
29.93825606048361,precue,uncued
38.82001203561115,precue,uncued
36.191725705696534,precue,uncued
26.82272017304031,precue,uncued
39.53784266016198,precue,uncued
32.96017412433095,precue,uncued
34.390403702560235,precue,uncued
33.868544471113275,precue,uncued
31.80317892059405,precue,uncued
32.776751682154305,precue,uncued
35.341208737665845,precue,uncued
40.644771118795376,precue,uncued
40.9451966862481,precue,uncued
30.899520312461778,precue,uncued
38.83534694326489,precue,uncued
27.287409918448578,precue,uncued
46.86677515654953,precue,uncued
37.580045759676366,precue,uncued
39.51031062299275,precue,uncued
33.69881660120571,precue,uncued
42.162993706899734,precue,uncued
36.846160451396045,precue,uncued
37.80108461311628,precue,uncued
32.935231276044114,precue,uncued
31.39161980779608,precue,uncued
46.589394195095515,precue,uncued
28.912321521413926,precue,uncued
30.263591571023635,precue,uncued
36.219372112485175,precue,uncued
35.57825818525466,precue,uncued
48.69576229093034,precue,uncued
30.186334143189768,precue,uncued
33.02318387565712,precue,uncued
37.723714789947564,precue,uncued
46.31584061180502,precue,uncued
40.03582544405762,precue,uncued
36.675672891121444,precue,uncued
37.23520952413845,precue,uncued
33.71331697492992,precue,uncued
34.75846156052731,precue,uncued
54.242828546843235,precue,uncued
38.759056890882476,precue,uncued
35.81169073608151,precue,uncued
41.511309520122346,precue,uncued
36.968273968253264,precue,uncued
49.229809726297695,precue,uncued
35.46632309543611,precue,uncued
33.64536762415188,precue,uncued
35.841908131987076,precue,uncued
34.43642659266138,precue,uncued
34.82110880308921,precue,uncued
39.24996878418161,precue,uncued
34.70606877362265,precue,uncued
38.55775467216385,precue,uncued
35.013110989647195,precue,uncued
37.50702075833709,precue,uncued
31.342022718414086,precue,uncued
35.3241035510309,precue,uncued
36.8102644439521,precue,uncued
42.51460545167648,precue,uncued
42.84949041484736,precue,uncued
35.21923113852555,precue,uncued
48.419737358703536,precue,uncued
37.42967259303966,precue,uncued
37.25094092920246,precue,uncued
37.292746598622315,precue,uncued
37.96323966341004,precue,uncued
45.35959249044757,precue,uncued
50.52110483839399,precue,uncued
37.92836536723426,precue,uncued
42.16616927866104,precue,uncued
30.186478939814975,precue,uncued
43.29981001715536,precue,uncued
39.081475782316105,precue,uncued
35.339472099251516,precue,uncued
36.335550625972985,precue,uncued
38.97504535915409,precue,uncued
46.28055252566703,precue,uncued
37.56777763662666,precue,uncued
42.37198743512544,precue,uncued
32.10191525801722,precue,uncued
31.757253754644125,precue,uncued
33.31697402690733,precue,uncued
36.526662735984125,precue,uncued
38.12419137949412,precue,uncued
36.59550270470263,precue,uncued
39.12717157589832,precue,uncued
41.08463658677385,precue,uncued
33.448694058515656,precue,uncued
40.632752512740865,precue,uncued
32.880615800513446,precue,uncued
35.39365347465656,precue,uncued
33.530334039303746,precue,uncued
39.38806935141278,precue,uncued
37.37092177195452,precue,uncued
34.76071748364942,precue,uncued
24.59881242359627,precue,uncued
32.172102912065206,precue,uncued
47.01562912734763,precue,uncued
51.807213379979665,precue,uncued
32.66812215889515,precue,uncued
43.78875140356905,precue,uncued
28.214711533118265,precue,uncued
44.11756239877142,precue,uncued
29.226254037632625,precue,uncued
34.732108298802906,precue,uncued
37.51964807274012,precue,uncued
42.804926618261156,precue,uncued
39.176287315916504,precue,uncued
39.482690902734156,precue,uncued
28.14133200242688,precue,uncued
40.44439922825991,precue,uncued
30.88598810515603,precue,uncued
30.331046748032435,precue,uncued
37.62001856934598,precue,uncued
54.2679055794863,precue,uncued
33.11527121703282,precue,uncued
43.265723423017214,precue,uncued
46.02838820516693,precue,uncued
29.426143926822764,precue,uncued
33.20328287020185,precue,uncued
34.83536717843546,precue,uncued
34.40934011621349,precue,uncued
35.28661596690181,precue,uncued
30.194303295821527,precue,uncued
32.44796567789103,precue,uncued
40.51158280522413,precue,uncued
33.28112124965193,precue,uncued
37.59794876806635,precue,uncued
40.84778811972878,precue,uncued
44.828216158350706,precue,uncued
33.91305034493599,precue,uncued
41.09434658711542,precue,uncued
41.262994770776636,precue,uncued
45.00382156247354,precue,uncued
37.02914089664137,precue,uncued
38.572508628309144,precue,uncued
38.26629947037096,precue,uncued
36.99796930888263,precue,uncued
46.093618896525015,precue,uncued
37.6076219275038,precue,uncued
42.98839685439995,precue,uncued
37.06040124694561,precue,uncued
35.07490753406887,precue,uncued
53.09999595679188,precue,uncued
39.5101899281235,precue,uncued
36.84829871243934,precue,uncued
31.703251595400218,precue,uncued
36.78192147329898,precue,uncued
47.291461494842004,precue,uncued
38.72300578915633,precue,uncued
40.47559377896646,precue,uncued
51.18827724056002,precue,uncued
35.36859473238433,precue,uncued
46.40635259106719,precue,uncued
34.339887537658356,precue,uncued
38.266057024648056,precue,uncued
42.560526855502836,precue,uncued
35.80148197929038,precue,uncued
52.46881147843578,precue,uncued
