electrode,variable,value,frequency
PO3,12,1.1605289312875768,6.522292993630574
O1,12,2.7746516998804744,6.522292993630574
Pz,12,0.3259197021386289,6.522292993630574
POz,12,0.16197036750327498,6.522292993630574
Oz,12,1.5234368326002585,6.522292993630574
Iz,12,2.3756311298337933,6.522292993630574
O2,13,0.5119776806361268,6.957112526539278
PO4,13,0.6211844196194566,6.957112526539278
PO8,13,0.8752647254416713,6.957112526539278
P8,13,0.8320934040667712,6.957112526539278
P4,13,0.4900100591052869,6.957112526539278
P6,13,0.7220931860398826,6.957112526539278
P2,13,0.396532668228545,6.957112526539278
P1,13,0.30459749127049485,6.957112526539278
P3,13,1.790133223514851,6.957112526539278
P5,13,1.9133283148083504,6.957112526539278
P7,13,1.3059444339263475,6.957112526539278
PO7,13,1.7353574840247645,6.957112526539278
PO3,13,1.7304672577728948,6.957112526539278
O1,13,2.2424647969876457,6.957112526539278
Pz,13,0.3464449556911376,6.957112526539278
POz,13,0.34940365980923127,6.957112526539278
Oz,13,0.3206194765060108,6.957112526539278
Iz,13,1.7187372589610268,6.957112526539278
O2,14,2.4436479204758084,7.391932059447983
PO4,14,0.187694934558205,7.391932059447983
PO8,14,0.9198310072020109,7.391932059447983
P8,14,0.6289244383555161,7.391932059447983
P4,14,0.16352556498433812,7.391932059447983
P6,14,0.3609056704117102,7.391932059447983
P2,14,0.716057126704874,7.391932059447983
P1,14,0.19372872641558267,7.391932059447983
P3,14,1.211889455546476,7.391932059447983
P5,14,1.4906745807509727,7.391932059447983
P7,14,1.1396077024816442,7.391932059447983
PO7,14,1.487936856777381,7.391932059447983
PO3,14,1.0305517016357215,7.391932059447983
O1,14,2.629055078130542,7.391932059447983
Pz,14,0.4579709243572272,7.391932059447983
POz,14,0.14575181771199763,7.391932059447983
Oz,14,2.689439988224533,7.391932059447983
Iz,14,1.830634492558056,7.391932059447983
O2,15,1.797360730249371,7.826751592356688
PO4,15,0.16011482226887835,7.826751592356688
PO8,15,0.4673144380307393,7.826751592356688
P8,15,0.27829792659700403,7.826751592356688
P4,15,0.0722548239105507,7.826751592356688
P6,15,0.17645044517867678,7.826751592356688
P2,15,0.47907051348679924,7.826751592356688
P1,15,0.44156181492851293,7.826751592356688
P3,15,1.5212194103729164,7.826751592356688
P5,15,1.2902451776384047,7.826751592356688
P7,15,0.6085841742652733,7.826751592356688
PO7,15,0.7920341870972987,7.826751592356688
PO3,15,0.6924369377301365,7.826751592356688
O1,15,0.6076927091630586,7.826751592356688
Pz,15,0.3503242709773536,7.826751592356688
POz,15,0.19783340156684331,7.826751592356688
Oz,15,1.3217781270569806,7.826751592356688
Iz,15,0.874504549595434,7.826751592356688
O2,16,2.108318348462845,8.261571125265393
PO4,16,0.10521362726475489,8.261571125265393
PO8,16,0.7860652528531482,8.261571125265393
P8,16,0.6978641823802205,8.261571125265393
P4,16,0.34667759959685773,8.261571125265393
P6,16,0.3501721726467409,8.261571125265393
P2,16,0.48817528384895376,8.261571125265393
P1,16,0.6195758075405247,8.261571125265393
P3,16,1.1099612135426873,8.261571125265393
P5,16,0.7328705211260049,8.261571125265393
P7,16,0.45815233348616397,8.261571125265393
PO7,16,0.6787462405842536,8.261571125265393
PO3,16,0.6089397975829708,8.261571125265393
O1,16,0.8488084799842974,8.261571125265393
Pz,16,0.42560943441517124,8.261571125265393
POz,16,0.13069449847301537,8.261571125265393
Oz,16,1.892040883960111,8.261571125265393
Iz,16,1.1609800080043484,8.261571125265393
O2,17,0.9629784594555073,8.696390658174098
PO4,17,0.11368927654789535,8.696390658174098
PO8,17,0.32368506455748286,8.696390658174098
P8,17,0.18456971416860254,8.696390658174098
P4,17,0.26669620332765626,8.696390658174098
P6,17,0.0713796220054407,8.696390658174098
P2,17,0.19458420827517192,8.696390658174098
P1,17,0.22967709666229064,8.696390658174098
P3,17,0.9791402294272402,8.696390658174098
P5,17,0.7351215269473356,8.696390658174098
P7,17,0.5014092277220337,8.696390658174098
PO7,17,0.6356968150834934,8.696390658174098
PO3,17,0.7638527625483289,8.696390658174098
O1,17,0.43344611450253384,8.696390658174098
Pz,17,0.08667004171468828,8.696390658174098
POz,17,0.05550438728494068,8.696390658174098
Oz,17,0.7146381329993524,8.696390658174098
Iz,17,0.32108715427764994,8.696390658174098
O2,18,2.821085835033167,9.131210191082802
PO4,18,0.48063260004233216,9.131210191082802
PO8,18,0.6561649196008839,9.131210191082802
P8,18,0.6348777184172409,9.131210191082802
P4,18,0.29770010998096014,9.131210191082802
P6,18,0.47099604488255,9.131210191082802
P2,18,0.08628677345251484,9.131210191082802
P1,18,1.8055693978039604,9.131210191082802
P3,18,0.9827869282664345,9.131210191082802
P5,18,0.15085768496299984,9.131210191082802
P7,18,0.0003544807108087875,9.131210191082802
PO7,18,0.16973651295043138,9.131210191082802
PO3,18,0.9418056662443594,9.131210191082802
O1,18,0.861327967102387,9.131210191082802
Pz,18,0.40719548800807476,9.131210191082802
POz,18,1.0227308830440665,9.131210191082802
Oz,18,2.922770486879961,9.131210191082802
Iz,18,0.5980939597214968,9.131210191082802
O2,19,2.938064528561934,9.566029723991507
PO4,19,1.5255958873846316,9.566029723991507
PO8,19,1.214629095365372,9.566029723991507
P8,19,1.3675815400694984,9.566029723991507
P4,19,1.1820858865620918,9.566029723991507
P6,19,1.9583264063765333,9.566029723991507
