cued,coh_with,timepoint,ITcoherence,time
60,56,15,-1.547954144814017,-0.46875
60,56,16,-1.54733214029271,-0.4666666666666667
60,56,17,-1.546359720702636,-0.46458333333333335
60,56,18,-1.5487479875654544,-0.4625
60,56,19,-1.5506123583157734,-0.4604166666666667
60,56,20,-1.5514043349292457,-0.45833333333333337
60,56,21,-1.5516889554849949,-0.45625000000000004
60,56,22,-1.5500312485874783,-0.4541666666666667
60,56,23,-1.5479123476825458,-0.4520833333333333
60,56,24,-1.5469964158224196,-0.44999999999999996
60,56,25,-1.545831782840571,-0.44791666666666663
60,56,26,-1.5471943833086423,-0.4458333333333333
60,56,27,-1.548462489432748,-0.44375
60,56,28,-1.5491274425707555,-0.44166666666666665
60,56,29,-1.5495410589142584,-0.4395833333333333
60,56,30,-1.548123039006784,-0.4375
60,56,31,-1.546360614505967,-0.4354166666666667
60,56,32,-1.5452197535761647,-0.43333333333333335
60,56,33,-1.5438061629700064,-0.43125
60,56,34,-1.544560893757608,-0.4291666666666667
60,56,35,-1.5453592762611343,-0.42708333333333337
60,56,36,-1.545928821668711,-0.42500000000000004
60,56,37,-1.5464229386275252,-0.4229166666666667
60,56,38,-1.5450966498565668,-0.4208333333333333
60,56,39,-1.5434975647464066,-0.41874999999999996
60,56,40,-1.542091956144707,-0.41666666666666663
60,56,41,-1.5403576266804992,-0.4145833333333333
60,56,42,-1.5406244780705565,-0.4125
60,56,43,-1.5409466106539385,-0.41041666666666665
60,56,44,-1.541426084622563,-0.4083333333333333
60,56,45,-1.541978030083514,-0.40625
60,56,46,-1.5406966256632924,-0.4041666666666667
60,56,47,-1.5392236545030236,-0.40208333333333335
60,56,48,-1.5375100906791592,-0.4
60,56,49,-1.535416216409963,-0.3979166666666667
60,56,50,-1.53521116301385,-0.39583333333333337
60,56,51,-1.5349923508405339,-0.39375000000000004
60,56,52,-1.5353745846285793,-0.3916666666666667
60,56,53,-1.535944569640326,-0.3895833333333333
60,56,54,-1.5347348197285702,-0.38749999999999996
60,56,55,-1.533446450702822,-0.38541666666666663
60,56,56,-1.5314271651452436,-0.3833333333333333
60,56,57,-1.5290116304362054,-0.38125
60,56,58,-1.5283196352452413,-0.37916666666666665
60,56,59,-1.527495600579194,-0.3770833333333333
60,56,60,-1.5277673067298303,-0.375
60,56,61,-1.5282835439682256,-0.3729166666666667
60,56,62,-1.527227962466212,-0.37083333333333335
60,56,63,-1.5262348180493803,-0.36875
60,56,64,-1.5239908660359691,-0.3666666666666667
60,56,65,-1.5213967147349448,-0.36458333333333337
60,56,66,-1.5202192441870586,-0.36250000000000004
60,56,67,-1.5187844544760645,-0.3604166666666667
60,56,68,-1.5189323030967272,-0.3583333333333333
60,56,69,-1.5193014858977476,-0.35624999999999996
60,56,70,-1.5185172853976576,-0.35416666666666663
60,56,71,-1.5179340605716984,-0.3520833333333333
60,56,72,-1.5156394333108736,-0.35
60,56,73,-1.513110523907791,-0.34791666666666665
60,56,74,-1.5115023054051453,-0.3458333333333333
60,56,75,-1.5095551073867632,-0.34375
60,56,76,-1.5095691235346322,-0.3416666666666667
60,56,77,-1.509707035065599,-0.33958333333333335
60,56,78,-1.5093165409004827,-0.3375
60,56,79,-1.5092171757585466,-0.3354166666666667
60,56,80,-1.5071253603751715,-0.33333333333333337
60,56,81,-1.5049624045080474,-0.33125000000000004
60,56,82,-1.5030552250136147,-0.3291666666666667
60,56,83,-1.5008103118683729,-0.3270833333333333
60,56,84,-1.5006846822608617,-0.32499999999999996
60,56,85,-1.5005515193673602,-0.32291666666666663
60,56,86,-1.500643572365344,-0.3208333333333333
60,56,87,-1.5010338034688206,-0.31875
60,56,88,-1.4994333502500503,-0.31666666666666665
60,56,89,-1.4979224071114545,-0.3145833333333333
60,56,90,-1.495929696777205,-0.3125
60,56,91,-1.4936889946955427,-0.3104166666666667
60,56,92,-1.4934260644984283,-0.30833333333333335
60,56,93,-1.4930484514311522,-0.30625
60,56,94,-1.4936398908666937,-0.3041666666666667
60,56,95,-1.4944542018579903,-0.30208333333333337
60,56,96,-1.4936001686797558,-0.30000000000000004
60,56,97,-1.4929396533972619,-0.2979166666666667
60,56,98,-1.491135359581469,-0.2958333333333333
60,56,99,-1.489226626896221,-0.29374999999999996
60,56,100,-1.488849380644815,-0.29166666666666663
60,56,101,-1.4883196237341845,-0.2895833333333333
60,56,102,-1.489334836096627,-0.2875
60,56,103,-1.4904540021700896,-0.28541666666666665
60,56,104,-1.490494843743279,-0.2833333333333333
60,56,105,-1.4907465050306197,-0.28125
